FID,BPID,Miles,STREET_NAM,FROM_ROAD,TO_ROAD,BLOCK,WARD,WIDTH__fee,Final_Rati,Rating_Cat,FC_Code,FC_Descrip,Date_Enter,Shape__Length
885,SYR2320,0.19422187836,Meadowbrook Dr.,Euclid,Scottholm Terr.,1100,17,40,9,Excellent,17,Collector,2021/07/19 00:00:00+00,428.277324056126
886,SYR2321,0.245319710195,Meadowbrook Dr.,Scottholm Terr.,Scott,1200,17,40,9,Excellent,17,Collector,2021/07/19 00:00:00+00,540.959015242786
887,SYR2322,0.253994057413,Meadowbrook Dr.,Scott,Bradford,1300,17,40,9,Excellent,17,Collector,2021/07/19 00:00:00+00,559.58460751883
888,SYR2323,0.166655559746,Meadowbrook Dr.,Bradford,Brookford,1400,17,40,9,Excellent,17,Collector,2021/07/19 00:00:00+00,366.778882307946
889,SYR2324,0.154947244382,Meadowbrook Dr.,Brookford,Hatherly,1500,17,40,9,Excellent,17,Collector,2021/07/19 00:00:00+00,340.84767318538
890,SYR2325,0.128744438856,Meadowbrook Dr.,Hatherly,Harrington,1600,17,40,9,Excellent,17,Collector,2021/07/19 00:00:00+00,283.180026802352
891,SYR2326,0.138505185517,Meadowbrook Dr.,Harrington,Hurlburt,1700,17,40,9,Excellent,17,Collector,2021/07/19 00:00:00+00,304.645395640312
892,SYR2327,0.52750631226,Meadowbrook Dr.,Hurlburt,Hillsboro,1800,17,40,7,Good,17,Collector,2021/07/19 00:00:00+00,1160.72690677889
893,SYR2328,0.117543309556,Medora Pl,Valley Dr.,Onon Crk Blvd,100,13,28,7,Good,19,Local,2021/07/19 00:00:00+00,258.472318756524
894,SYR2329,0.11177077534,Melbourne Ave,Mountainview,Fayette,100,17,30,6,Fair,19,Local,2021/07/16 00:00:00+00,246.724808942117
895,SYR233,0.10456254614,Beard Pl.,E. Beard,Colvin,100,19,12,0,Not Rated,19,Local,2021/07/23 00:00:00+00,230.666416257743
896,SYR2330,0.129097376066,Melbourne Ave,Fayette,Salt Springs,200,17,30,5,Poor,19,Local,2021/07/16 00:00:00+00,284.963268805252
897,SYR2331,0.12367880301,Melrose Ave.,Teall,Hixson,100,5,25,6,Fair,19,Local,2021/06/25 00:00:00+00,272.099312195215
898,SYR2332,0.0741761388955,Melrose Ave.,Hixson,Cook,200,5,25,6,Fair,19,Local,2021/06/25 00:00:00+00,163.191207604929
899,SYR2333,0.106237621137,Melrose Ave.,Cook,Hastings,300,5,36,7,Good,19,Local,2021/10/14 00:00:00+00,233.730093673072
900,SYR2334,0.103085581801,Melrose Ave.,Hastings,Clifton,400,5,36,6,Fair,19,Local,2021/10/14 00:00:00+00,226.793860656841
901,SYR2335,0.119174940614,Melrose Ave.,Clifton,Shotwell,500,5,36,7,Good,19,Local,2021/10/14 00:00:00+00,262.226158294762
902,SYR2336,0.0769932925859,Menlo Dr,Bennington,Walrath,100,14,27,5,Poor,19,Local,2021/07/16 00:00:00+00,169.732956572112
903,SYR2337,0.0793077688763,Menlo Dr,Walrath,Filmore,200,14,27,5,Poor,19,Local,2021/07/16 00:00:00+00,174.883899213578
904,SYR2338,0.169584848965,Merrill Rd,Bellevue,Huntington,100,11,25,8,Good,19,Local,2021/07/22 00:00:00+00,373.292667219742
905,SYR2339,0.140511110118,Merrill St,Cadillac,LeMoyne,100,1,24,7,Good,19,Local,2021/07/13 00:00:00+00,309.744311523988
