FID,OBJECTID,BPID,Road_Class,FC,Miles,Rating_202,Rating_Cat,STREET_NAM,FROM_STREE,TO_STREET,BLOCK,WARD,WIDTH,Feet,Shape__Len,Shape__Length
1672,647,SYR1704,2,17,0.090689837331,8,Good,Hiawatha Blvd E,Carbon,Spring,300,1,47,478.842341108,200.102282615,200.102282620535
1673,648,SYR1705,2,17,0.0955720336632,8,Good,Hiawatha Blvd E,Spring,First North,400,1,47,504.620337742,210.877539977,210.877539979163
1674,649,SYR1706,2,17,0.0932784733711,8,Good,Hiawatha Blvd E,First North,Second North,500,1,0,492.5103394,205.821015442,205.821015442987
1675,650,SYR1707,2,17,0.0950146381929,8,Good,Hiawatha Blvd E,Second North,Grant Blvd.,600,1,0,501.677289659,209.653089078,209.653089071771
1676,651,SYR1708,2,17,0.0945255550981,5,Poor,Hiawatha Blvd E,Grant Blvd.,Fourth North,700,1,0,499.094930918,208.580052407,208.580052401513
1677,652,SYR1709,2,17,0.190988580072,5,Poor,Hiawatha Blvd E,Fourth North,Sixth North,800,1,0,1008.41970278,421.449175949,421.449175958882
1678,653,SYR171,2,19,0.0548149272864,6,Fair,Ball Ave.,Delray,Fayette Blvd.,300,17,27,289.422816072,120.998204638,120.998204624531
1679,654,SYR1710,2,17,0.125282158545,6,Fair,Hiawatha Blvd E,Sixth North,Seventh North,1000,1,0,661.489797116,276.459112483,276.459112476835
1680,655,SYR1711,2,14,0.309689921532,9,Excellent,Hiawatha Blvd W,N. Salina,Solar,100,2,59,1635.16278569,683.035905475,683.035905474011
1681,656,SYR1713,2,14,0.160919905183,8,Good,Hiawatha Blvd W,Van Rennselaer,Pulaski,300,2,59,849.657099367,354.688081941,354.688081929731
1682,657,SYR1714,2,14,0.297133223422,8,Good,Hiawatha Blvd W,Pulaski,Spencer,400,2,59,1568.86341967,654.901476874,654.901476878885
1683,658,SYR1715,2,14,0.21413158154,8,Good,Hiawatha Blvd W,Spencer,State Fair Blvd.,500,2,50,1130.61475053,471.942873096,471.942873096941
